ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI
E1,ESM,Micromixer,2.680737849495766,0.0,1.0310812245632734,0.9591635424866131,2.5,2.5,PBS,YES,451.294972790339,0.242659577162159
E2,ESM,Micromixer,2.4370344086325146,0.0,1.0310812245632734,1.9183270849732261,1.0,5.0,PBS,YES,85.1839766108858,0.2503544979707
E3,ESM,Micromixer,10.235544516256562,0.0,1.5466218368449105,5.754981254919678,2.5,2.5,PBS,NO,1991.83548152214,0.201333997671457
E5,ESM,Micromixer,7.311103225897543,0.0,3.093243673689821,5.754981254919678,1.0,5.0,PBS,YES,84.1084744653935,0.21054961061435
E8,ESM,Micromixer,10.966654838846313,0.0,1.5466218368449105,2.877490627459839,2.5,5.0,PBS,NO,5670.85845159383,0.378191877010443
E12,ESM,Micromixer,3.6555516129487713,0.0,0.5155406122816367,0.9591635424866131,1.0,2.5,PBS,YES,220.676299240302,0.299704979424076
E16,ESM,Micromixer,10.235544516256562,0.0,1.5466218368449105,5.754981254919678,1.0,2.5,PBS,YES,843.290836894877,0.238162474080819
E18,ESM,Micromixer,3.6555516129487713,0.0,0.5155406122816367,0.9591635424866131,1.0,5.0,PBS,NO,4006.80506004553,0.454017231032364
E19,ESM,Micromixer,8.042213548487297,0.0,3.093243673689821,2.877490627459839,1.0,2.5,PBS,YES,126.089916195886,0.222211453395857
E21,ESM,Micromixer,2.4370344086325146,0.0,1.0310812245632734,1.9183270849732261,2.5,2.5,PBS,YES,124.961785350713,0.187131611317078
E22,ESM,Micromixer,3.4118481720855196,0.0,0.5155406122816367,1.9183270849732261,2.5,5.0,PBS,NO,7932.67265191194,0.450422523099483
E23,ESM,Micromixer,8.042213548487297,0.0,3.093243673689821,2.877490627459839,2.5,5.0,PBS,YES,107.531261018264,0.279000115573349
E25,ESM,Micromixer,19.509694635740786,0.0,5.15895461011433,12.79764984945341,2.5,4.0,PBS,YES,91.0,0.149
E26,ESM,Micromixer,19.509694635740786,0.0,5.15895461011433,12.79764984945341,2.5,8.0,PBS,YES,85.0,0.19
E27,ESM,Micromixer,13.006463090493858,0.0,8.598257683523885,12.79764984945341,2.5,4.0,PBS,YES,104.0,0.227
E28,ESM,Micromixer,13.006463090493858,0.0,8.598257683523885,12.79764984945341,2.5,8.0,PBS,YES,82.0,0.291
E29,ESM,Micromixer,19.509694635740786,0.0,5.15895461011433,12.79764984945341,2.5,4.0,PBS,YES,95.0,0.163
E30,ESM,Micromixer,19.509694635740786,0.0,5.15895461011433,12.79764984945341,2.5,8.0,PBS,YES,77.0,0.17
E31,ESM,Micromixer,13.006463090493858,0.0,8.598257683523885,12.79764984945341,2.5,4.0,PBS,YES,94.0,0.104
E32,ESM,Micromixer,13.006463090493858,0.0,8.598257683523885,12.79764984945341,2.5,8.0,PBS,YES,116.0,0.437
E33,ESM,Micromixer,19.509694635740786,0.0,5.15895461011433,12.79764984945341,2.5,4.0,PBS,YES,95.0,0.156
E34,ESM,Micromixer,19.509694635740786,0.0,5.15895461011433,12.79764984945341,2.5,8.0,PBS,YES,81.0,0.175
E35,ESM,Micromixer,13.006463090493858,0.0,8.598257683523885,12.79764984945341,2.5,4.0,PBS,YES,94.0,0.179
E36,ESM,Micromixer,13.006463090493858,0.0,8.598257683523885,12.79764984945341,2.5,8.0,PBS,YES,87.8,0.32
E37,ESM,Micromixer,16.258078863117323,0.0,6.878606146819108,12.79764984945341,2.5,6.0,PBS,YES,94.0,0.244
E38,ESM,Micromixer,16.258078863117323,0.0,6.878606146819108,12.79764984945341,2.5,6.0,PBS,YES,96.0,0.274
E39,ESM,Micromixer,16.258078863117323,0.0,6.878606146819108,12.79764984945341,2.5,6.0,PBS,YES,101.0,0.317
H1,HSPC,Micromixer,0.0,2.873878576461078,1.0310812245632734,0.9591635424866131,2.5,2.5,PBS,YES,119.4,0.184
H2,HSPC,Micromixer,0.0,2.612616887691889,1.0310812245632734,1.9183270849732261,1.0,5.0,PBS,YES,74.3,0.191
H3,HSPC,Micromixer,0.0,10.972990928305936,1.5466218368449105,5.754981254919678,2.5,2.5,PBS,YES,112.4,0.267
H5,HSPC,Micromixer,0.0,7.837850663075668,3.093243673689821,5.754981254919678,1.0,5.0,PBS,YES,91.5,0.204
H8,HSPC,Micromixer,0.0,11.756775994613504,1.5466218368449105,2.877490627459839,2.5,5.0,PBS,YES,147.8,0.206
H12,HSPC,Micromixer,0.0,3.918925331537834,0.5155406122816367,0.9591635424866131,1.0,2.5,PBS,YES,414.4,0.428
H16,HSPC,Micromixer,0.0,10.972990928305936,1.5466218368449105,5.754981254919678,1.0,2.5,PBS,YES,138.8,0.236
H18,HSPC,Micromixer,0.0,3.918925331537834,0.5155406122816367,0.9591635424866131,1.0,5.0,PBS,YES,189.9,0.277
H19,HSPC,Micromixer,0.0,8.621635729383234,3.093243673689821,2.877490627459839,1.0,2.5,PBS,YES,140.5,0.163
H21,HSPC,Micromixer,0.0,2.612616887691889,1.0310812245632734,1.9183270849732261,2.5,2.5,PBS,YES,64.4,0.166
H22,HSPC,Micromixer,0.0,3.6576636427686444,0.5155406122816367,1.9183270849732261,2.5,5.0,PBS,YES,118.8,0.375
H23,HSPC,Micromixer,0.0,8.621635729383234,3.093243673689821,2.877490627459839,2.5,5.0,PBS,YES,97.6,0.105
H25,HSPC,Micromixer,0.0,20.915321301372042,5.15895461011433,12.8,2.5,4.0,PBS,YES,130.2,0.336
H26,HSPC,Micromixer,0.0,20.915321301372042,5.15895461011433,12.8,2.5,8.0,PBS,YES,125.2,0.337
H27,HSPC,Micromixer,0.0,13.943547534248028,8.598257683523885,12.8,2.5,4.0,PBS,YES,93.8,0.275
H28,HSPC,Micromixer,0.0,13.943547534248028,8.598257683523885,12.8,2.5,8.0,PBS,YES,92.9,0.248
H29,HSPC,Micromixer,0.0,20.915321301372042,5.15895461011433,12.8,2.5,4.0,PBS,YES,132.2,0.345
H30,HSPC,Micromixer,0.0,20.915321301372042,5.15895461011433,12.8,2.5,8.0,PBS,YES,131.3,0.365
H31,HSPC,Micromixer,0.0,13.943547534248028,8.598257683523885,12.8,2.5,4.0,PBS,YES,97.7,0.262
H32,HSPC,Micromixer,0.0,13.943547534248028,8.598257683523885,12.8,2.5,8.0,PBS,YES,81.3,0.235
H33,HSPC,Micromixer,0.0,20.915321301372042,5.15895461011433,12.8,2.5,4.0,PBS,YES,126.0,0.343
H34,HSPC,Micromixer,0.0,20.915321301372042,5.15895461011433,12.8,2.5,8.0,PBS,YES,122.1,0.351
H35,HSPC,Micromixer,0.0,13.943547534248028,8.598257683523885,12.8,2.5,4.0,PBS,YES,98.8,0.296
H36,HSPC,Micromixer,0.0,13.943547534248028,8.598257683523885,12.8,2.5,8.0,PBS,YES,95.0,0.424
H37,HSPC,Micromixer,0.0,17.429434417810032,6.878606146819108,12.8,2.5,6.0,PBS,YES,92.7,0.223
H38,HSPC,Micromixer,0.0,17.429434417810032,6.878606146819108,12.8,2.5,6.0,PBS,YES,89.3,0.244
H39,HSPC,Micromixer,0.0,17.429434417810032,6.878606146819108,12.8,2.5,6.0,PBS,YES,108.6,0.292
H40,HSPC,Micromixer,0.0,15.77363814811808,7.695440626753877,12.79764984945341,2.5,8.0,PBS,YES,94.2,0.245
