ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI
62CM,ESM,Micromixer,10.0,0.0,10.0,0.0,2.5,3.5002575415843395,MQ,YES,84.46,0.067
63CM,ESM,Micromixer,10.0,0.0,10.0,0.0,1.375,1.0,MQ,YES,110.4,0.043
64CM,ESM,Micromixer,10.0,0.0,10.0,0.0,2.5,1.0,MQ,YES,105.3,0.063
65CM,ESM,Micromixer,12.0,0.0,8.0,0.0,1.375,3.5002575415843395,MQ,YES,98.5,0.054
66CM,ESM,Micromixer,12.0,0.0,8.0,0.0,2.5,3.467368504525317,MQ,YES,85.85,0.066
67CM,ESM,Micromixer,12.0,0.0,8.0,0.0,1.375,1.0,MQ,YES,129.1,0.029
68CM,ESM,Micromixer,12.0,0.0,8.0,0.0,2.5,1.0,MQ,YES,129.3,0.045
01OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.58,1.6,MQ,YES,125.56,0.263
02OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.17,1.6,MQ,YES,87.316,0.168
03OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.58,4.4,MQ,YES,95.927,0.219
04OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.17,4.4,MQ,YES,67.343,0.242
05OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.25,3.0,MQ,YES,129.236,0.334
06OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.5,3.0,MQ,YES,68.868,0.23
07OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,1.0,MQ,YES,149.89,0.421
08OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,4.4,MQ,YES,76.973,0.241
09OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,80.278,0.231
10OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,80.541,0.212
11OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,77.848,0.228
12OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,77.339,0.229
13OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,78.537,0.223
14OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.58,1.6,MQ,YES,141.851,0.334
15OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.17,1.6,MQ,YES,100.593,0.152
16OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.58,4.4,MQ,YES,103.514,0.306
17OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.17,4.4,MQ,YES,66.039,0.243
18OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.25,3.0,MQ,YES,148.899,0.356
19OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.5,3.0,MQ,YES,66.672,0.27
20OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,1.0,MQ,YES,158.663,0.4
21OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,4.4,MQ,YES,76.545,0.261
22OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,81.475,0.248
23OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,83.866,0.251
24OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,85.223,0.262
25OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,80.004,0.233
26OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,83.696,0.257
27OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.58,1.6,MQ,YES,136.684,0.307
28OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.17,1.6,MQ,YES,107.924,0.174
29OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.58,4.4,MQ,YES,102.589,0.262
30OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.17,4.4,MQ,YES,63.026,0.246
31OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.25,3.0,MQ,YES,131.852,0.295
32OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.5,3.0,MQ,YES,65.3,0.272
33OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,1.0,MQ,YES,157.64,0.409
34OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,4.4,MQ,YES,75.772,0.254
35OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,80.386,0.256
36OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,76.14,0.247
37OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,78.939,0.251
38OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,155.532,0.297
39OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,75.29,0.214
40OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.17,1.727,MQ,YES,91.341,0.2
41OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.17,1.727,MQ,YES,96.467,0.2
42OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.17,1.727,MQ,YES,83.115,0.203
01OM,ESM,Micromixer,24.779,0.0,10.121,0.0,0.58,1.6,MQ,YES,230.059,0.349
02OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.17,1.6,MQ,YES,298.002,0.263
03OM,ESM,Micromixer,24.779,0.0,10.121,0.0,0.58,4.4,MQ,YES,157.882,0.088
04OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.17,4.4,MQ,YES,125.303,0.065
05OM,ESM,Micromixer,24.779,0.0,10.121,0.0,0.25,3.0,MQ,YES,183.962,0.16
06OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.5,3.0,MQ,YES,155.385,0.054
07OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,1.0,MQ,YES,232.108,0.322
08OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,5.0,MQ,YES,125.924,0.058
09OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,169.717,0.119
10OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,164.343,0.091
11OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,162.206,0.121
12OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,160.342,0.095
13OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,158.912,0.087
14OM,ESM,Micromixer,24.779,0.0,10.121,0.0,0.58,1.6,MQ,YES,189.764,0.195
15OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.17,1.6,MQ,YES,229.416,0.244
16OM,ESM,Micromixer,24.779,0.0,10.121,0.0,0.58,4.4,MQ,YES,140.386,0.047
17OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.17,4.4,MQ,YES,117.314,0.046
18OM,ESM,Micromixer,24.779,0.0,10.121,0.0,0.25,3.0,MQ,YES,167.216,0.071
19OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.5,3.0,MQ,YES,137.968,0.05
20OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,1.0,MQ,YES,240.863,0.252
21OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,5.0,MQ,YES,115.891,0.07
22OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,139.586,0.08
23OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,141.538,0.064
24OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,139.883,0.062
25OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,139.657,0.065
26OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,146.755,0.081
27OM,ESM,Micromixer,24.779,0.0,10.121,0.0,0.58,1.6,MQ,YES,220.699,0.271
28OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.17,1.6,MQ,YES,303.927,0.274
29OM,ESM,Micromixer,24.779,0.0,10.121,0.0,0.58,4.4,MQ,YES,159.526,0.071
30OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.17,4.4,MQ,YES,125.978,0.027
31OM,ESM,Micromixer,24.779,0.0,10.121,0.0,0.25,3.0,MQ,YES,191.239,0.132
32OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.5,3.0,MQ,YES,158.28,0.059
33OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,1.0,MQ,YES,236.083,0.26
34OM ,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,5.0,MQ,YES,130.988,0.044
35OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,160.969,0.082
36OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,158.593,0.085
37OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,161.035,0.061
38OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,171.769,0.111
39OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,161.298,0.103
40OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.5,5.0,MQ,YES,114.922,0.056
41OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.5,5.0,MQ,YES,109.23,0.05
42OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.5,5.0,MQ,YES,107.303,0.055
T1,ESM,Micromixer,3.0,0.0,2.0,0.0,1.75,3.0,MQ,YES,81.0,0.112
T2,ESM,Micromixer,3.0,0.0,2.0,0.0,1.0,10.0,MQ,YES,79.0,0.109
T3,ESM,Micromixer,4.95,0.0,3.05,0.0,2.0,7.0,PBS,YES,98.0,0.152
T4,ESM,Micromixer,4.95,0.0,3.05,0.0,1.4,4.7,PBS,YES,118.0,0.205
T5,ESM,Micromixer,4.95,0.0,3.05,0.0,1.0,3.0,PBS,YES,160.0,0.239
